id,Title,Date,Permalink,Research Topics,Press Types,Categories,Year,Press Mentions,People Reached,Top Outlets,Notes
1306,CIERA Helps Chicago-Area High School Students Host 2018 GirlCon,2018-06-16,https://ciera.northwestern.edu/2018/06/16/ciera-helps-chicago-area-high-school-students-host-2018-girlcon/,,CIERA Stories,Event|Interdisciplinary|Outreach,2017,,,,
1309,CIERA Postdocs Advance to New Positions,2018-06-10,https://ciera.northwestern.edu/2018/06/10/ciera-postdocs-advance-to-new-positions/,,CIERA Stories,Achievement|Data Science & Computing,2017,11,292594,,
1310,Brice Ménard Presents CIERA Interdisciplinary Colloquium,2018-06-04,https://ciera.northwestern.edu/2018/06/04/brice-menard-presents-ciera-interdisciplinary-colloquium/,,CIERA Stories,Data Science & Computing|Event|Interdisciplinary,2017,,,,
1312,CIERA Contributes to World Science Festival,2018-05-30,https://ciera.northwestern.edu/2018/05/30/ciera-contributes-to-world-science-festival/,Black Holes & Dead Stars|Gravitational Waves & Multi-Messenger Astronomy,CIERA Stories,Event|Outreach,2017,37,25093,"•	Space Daily, Aug. 15, 2022",
1315,CIERA Welcomes New Faculty Members: Wen-Fai Fong & Sasha Tchekhovskoy,2017-09-01,https://ciera.northwestern.edu/2017/09/01/ciera-welcomes-new-faculty-members-wen-fai-fong-sasha-tchekhovskoy/,Black Holes & Dead Stars|Gravitational Waves & Multi-Messenger Astronomy|Life & Death of Stars,CIERA Stories,Achievement,2016,,,,
1317,Sky & Telescope Features “Three Cosmic Chirps and Counting” by CIERA Director Vicky Kalogera,2017-09-15,https://ciera.northwestern.edu/2017/09/15/three-cosmic-chirps-and-counting/,Gravitational Waves & Multi-Messenger Astronomy,External Press,Achievement|Outreach,2017,0,,Cosmos Magazine,
1318,CIERA Partners with The Chicago Network on STEM Event,2018-05-17,https://ciera.northwestern.edu/2018/05/17/ciera-partners-with-the-chicago-network-on-stem-event/,Black Holes & Dead Stars|Gravitational Waves & Multi-Messenger Astronomy,CIERA Stories,Event|Outreach,2017,11,25730,ANI,
1324,Graduate Student Eve Chase Wins Best Poster Award at LSC-Virgo Meeting,2017-09-01,https://ciera.northwestern.edu/2017/09/01/graduate-student-eve-chase-wins-best-poster-award-at-lsc-virgo-meeting/,Gravitational Waves & Multi-Messenger Astronomy,CIERA Stories,Achievement,2016,,,,
1343,CIERA Postdoc Fabio Antonini Finds that Many LIGO Sources Arise from Mergers at the Centers of Galaxies,2017-09-15,https://ciera.northwestern.edu/2017/09/15/ciera-postdoc-fabio-antonini-finds-that-many-ligo-sources-arise-from-mergers-at-the-centers-of-galaxies/,Black Holes & Dead Stars|Gravitational Waves & Multi-Messenger Astronomy|Stellar Dynamics & Stellar Populations,CIERA Stories,Science,2017,73,1435743,"WGN TV, Chicago Sun-Times, Fox32 Chicago, WTTW Chicago Tonight",
1346,New Study: LISA Observatory to Detect Globular Cluster Binaries in the Milky Way,2018-05-11,https://ciera.northwestern.edu/2018/05/11/new-study-lisa-observatory-to-detect-globular-cluster-binaries-in-the-milky-way/,Gravitational Waves & Multi-Messenger Astronomy|Stellar Dynamics & Stellar Populations,Northwestern Press,Science,2017,,,,
1347,Unique Supernova Revealed by CIERA Postdoc Giacomo Terreran,2017-09-18,https://ciera.northwestern.edu/2017/09/18/unique-supernova-revealed-by-ciera-postdoc-giacomo-terreran/,Life & Death of Stars,External Press,Science,2017,,,,
1351,PhD Student Alex Gurvich Awarded Two Prestigious Fellowships,2018-05-10,https://ciera.northwestern.edu/2018/05/10/phd-student-alex-gurvich-awarded-two-prestigious-fellowships/,Galaxies & Cosmology,CIERA Stories|External Press,Achievement,2017,82,425818,"ABC7, WBEZ",
1352,CIERA Researchers Contribute to Record-setting Gravitational Wave Detection,2017-09-27,https://ciera.northwestern.edu/2017/09/27/ciera-researchers-contribute-to-record-setting-gravitational-wave-detection/,Gravitational Waves & Multi-Messenger Astronomy,External Press,Science,2017,52,1032411,ANI,
1353,Seven New Postdoctoral Researchers Join CIERA,2018-05-09,https://ciera.northwestern.edu/2018/05/09/seven-new-postdoctoral-researchers-join-ciera/,Black Holes & Dead Stars|Exoplanets & The Solar System|Gravitational Waves & Multi-Messenger Astronomy|Life & Death of Stars|Stellar Dynamics & Stellar Populations,CIERA Stories,Achievement,2017,,,,
1355,"2017 Nobel Prize in Physics Awarded to Gravitational-wave Scientists Barish, Thorne, and Weiss",2017-10-03,https://ciera.northwestern.edu/2017/10/03/2017-nobel-prize-in-physics-awarded-to-gravitational-wave-scientists-barish-thorne-and-weiss/,Gravitational Waves & Multi-Messenger Astronomy,External Press,Achievement|Interdisciplinary,2017,,,,
1357,Professor Vicky Kalogera Elected to National Academy of Sciences,2018-05-02,https://ciera.northwestern.edu/2018/05/02/professor-vicky-kalogera-elected-to-national-academy-of-sciences/,,External Press|Northwestern Press,Achievement,2017,23,285679,,
1360,"Reach for the Stars Teacher, John Kretsos, Honored with Distinguished Secondary Teacher Award",2018-05-02,https://ciera.northwestern.edu/2018/05/02/reach-for-the-stars-teacher-john-kretsos-honored-with-distinguished-secondary-teacher-award/,,Northwestern Press,Achievement|Education,2017,40,4928507,,Included local evening news feature
1361,CIERA Astronomers Help Detect Colliding Neutron Stars for the First Time,2017-10-16,https://ciera.northwestern.edu/2017/10/16/ciera-astronomers-help-detect-colliding-neutron-stars-for-the-first-time/,Black Holes & Dead Stars|Gravitational Waves & Multi-Messenger Astronomy,CIERA Stories|External Press|Northwestern Press,Science,2017,,,,
1368,Graduate Student Katie Breivik Wins Blue Apple Prize at MRM,2017-10-14,https://ciera.northwestern.edu/2017/10/14/graduate-student-katie-breivik-wins-blue-apple-prize-at-mrm/,Black Holes & Dead Stars|Stellar Dynamics & Stellar Populations,CIERA Stories,Achievement,2017,,,,
1370,CIERA’s Shane Larson Joins U.S. NASA LISA Study Team,2017-10-15,https://ciera.northwestern.edu/2017/10/15/cieras-shane-larson-joins-u-s-nasa-lisa-study-team/,Gravitational Waves & Multi-Messenger Astronomy,CIERA Stories,Achievement,2017,,,,
1372,Cosmologist Prof. Wendy Freedman Presents CIERA Annual Public Lecture,2017-10-05,https://ciera.northwestern.edu/2017/10/05/cosmologist-prof-wendy-freedman-presents-ciera-annual-public-lecture/,,CIERA Stories|Northwestern Press,Event|Outreach,2017,,,,
1377,CIERA REU Student José Flores Wins Best Poster Presentation at 2017 SACNAS Conference,2017-10-21,https://ciera.northwestern.edu/2017/10/21/ciera-reu-student-jose-flores-wins-best-poster-presentation-at-2017-sacnas-conference/,Galaxies & Cosmology,CIERA Stories,Achievement|Education,2017,7,144518,"•	Science, Oct. 28, 2022
•	Wired, Oct. 26, 2022
•	Scientific American, Oct. 21, 2022
•	South China Morning Post, Oct. 21, 2022
•	CNET, Oct. 20, 2022
•	The Economist, Oct. 19, 2022
•	Business Insider, Oct. 18, 2022
•	CNN, Oct. 18, 2022
•	Salon, Oct. 18, 2022
•	Space.com, Oct. 18, 2022
•	The Times (London), Oct. 18, 2022
•	Axios, Oct. 17, 2022
•	IFL Science, Oct. 17, 2022
•	Mashable, Oct. 17, 2022
•	Forbes, Oct. 14, 2022
•	Gizmodo, Oct. 14, 2022
•	Vice, Oct. 11, 2022",As of 2023-05-09
1379,CIERA Affiliate Member Magdalena Osburn Named Packard Fellow,2017-10-26,https://ciera.northwestern.edu/2017/10/26/ciera-affiliate-member-magdalena-osburn-named-packard-fellow/,,Northwestern Press,Achievement|Interdisciplinary,2017,67,570333,"•	Science, Oct. 28, 2022
•	Wired, Oct. 26, 2022
•	Scientific American, Oct. 21, 2022
•	South China Morning Post, Oct. 21, 2022
•	CNET, Oct. 20, 2022
•	The Economist, Oct. 19, 2022
•	Business Insider, Oct. 18, 2022
•	CNN, Oct. 18, 2022
•	Salon, Oct. 18, 2022
•	Space.com, Oct. 18, 2022
•	The Times (London), Oct. 18, 2022
•	Axios, Oct. 17, 2022
•	IFL Science, Oct. 17, 2022
•	Mashable, Oct. 17, 2022
•	Forbes, Oct. 14, 2022
•	Gizmodo, Oct. 14, 2022
•	Vice, Oct. 11, 2022",
1381,“Black Hole Encounter” by CIERA Postdoc Aaron Geller Sweeps 2017 Scientific Images Contest,2017-11-02,https://ciera.northwestern.edu/2017/11/02/black-hole-encounter-by-ciera-postdoc-aaron-geller-sweeps-2017-scientific-images-contest/,Black Holes & Dead Stars|Stellar Dynamics & Stellar Populations,Northwestern Press,Achievement|Interdisciplinary|Outreach,2017,29,757026,"Space.com, Gizmodo, CNET, Mashable, IFLScience, Yahoo!, MSN",
1382,Greg Laughlin and Dan Tamayo Present CIERA Interdisciplinary Colloquia,2017-12-01,https://ciera.northwestern.edu/2017/12/01/greg-lauglin-and-dan-tamayo-present-ciera-interdisciplinary-colloquia/,Exoplanets & The Solar System,CIERA Stories,Event|Interdisciplinary,2017,2,42657,,
1390,REU Student José Flores Velazquez Presents Research on Capitol Hill,2018-04-20,https://ciera.northwestern.edu/2018/04/20/reu-student-jose-flores-velazquez-presents-research-on-capitol-hill/,Galaxies & Cosmology,CIERA Stories,Achievement,2017,30,10955637,"ABC7, WBEZ",
1391,"Computational Research Day: April 10, 2018",2018-04-10,https://ciera.northwestern.edu/2018/04/10/computational-research-day-april-10-2018/,Black Holes & Dead Stars|Galaxies & Cosmology|Gravitational Waves & Multi-Messenger Astronomy|Life & Death of Stars|Stellar Dynamics & Stellar Populations,CIERA Stories,Achievement|Data Science & Computing|Education|Event|Interdisciplinary,2017,0,,,Included local evening news feature
1392,Nature Astronomy Perspective: Professor Faucher-Giguère on Progress & Challenges in Galaxy Formation Simulation Field,2018-04-05,https://ciera.northwestern.edu/2018/04/05/nature-astronomy-perspective-professor-faucher-giguere-on-progress-challenges-in-galaxy-formation-simulation-field/,Galaxies & Cosmology,External Press,Achievement|Science,2017,0,,,
1396,CIERA Hosts Workshop on Radio Astronomy,2018-03-29,https://ciera.northwestern.edu/2018/03/29/ciera-hosts-workshop-on-radio-astronomy/,,CIERA Stories,Achievement|Event,2017,,,,
1399,Embassy of Greece Interviews CIERA Director Vicky Kalogera,2018-03-27,https://ciera.northwestern.edu/2018/03/27/embassy-of-greece-interviews-ciera-director-vicky-kalogera/,,External Press,Achievement,2017,,,,
1400,Chandra Director Belinda Wilkes Presents CIERA Interdisciplinary Colloquium,2018-03-22,https://ciera.northwestern.edu/2018/03/22/chandra-director-belinda-wilkes-presents-ciera-interdisciplinary-colloquium/,,CIERA Stories,Event|Interdisciplinary,2017,,,,
1411,Top Telescope Access for CIERA Researchers,2017-11-01,https://ciera.northwestern.edu/2017/11/01/top-telescope-access-for-ciera-researchers/,,CIERA Stories,Science,2017,59,663449,,
1413,Graduate Student Eve Chase Leads Data Analysis of New Gravitational Wave Detection,2017-11-10,https://ciera.northwestern.edu/2017/11/10/graduate-student-eve-chase-leads-data-analysis-of-new-gravitational-wave-detection/,Gravitational Waves & Multi-Messenger Astronomy,CIERA Stories|External Press,Achievement|Science,2017,,,,
1415,Cosmos in Concert: Celestial Suite,2017-11-18,https://ciera.northwestern.edu/2017/11/18/cosmos-in-concert-celestial-suite/,,CIERA Stories,Event|Interdisciplinary|Outreach,2017,43,341668,ANI,
1431,CIERA Graduate Students Host Field Trip for Girls 4 Science,2018-02-03,https://ciera.northwestern.edu/2018/02/03/ciera-graduate-students-host-field-trip-for-girls-4-science/,,CIERA Stories,Event|Outreach,2017,54,46130051,"Space.com, Gizmodo, CNET, Mashable, IFLScience, Yahoo!, MSN",
1436,Professor Claude-André Faucher-Giguère Named Cottrell Scholar,2018-02-12,https://ciera.northwestern.edu/2018/02/12/professor-claude-andre-faucher-giguere-named-cottrell-scholar/,,External Press|Northwestern Press,Achievement,2017,24,1682561,"•	Science, Oct. 28, 2022
•	Wired, Oct. 26, 2022
•	Scientific American, Oct. 21, 2022
•	South China Morning Post, Oct. 21, 2022
•	CNET, Oct. 20, 2022
•	The Economist, Oct. 19, 2022
•	Business Insider, Oct. 18, 2022
•	CNN, Oct. 18, 2022
•	Salon, Oct. 18, 2022
•	Space.com, Oct. 18, 2022
•	The Times (London), Oct. 18, 2022
•	Axios, Oct. 17, 2022
•	IFL Science, Oct. 17, 2022
•	Mashable, Oct. 17, 2022
•	Forbes, Oct. 14, 2022
•	Gizmodo, Oct. 14, 2022
•	Vice, Oct. 11, 2022",Included local evening news feature
1438,CIERA Director Vicky Kalogera Named Daniel I. Linzer Distinguished University Professor,2018-01-31,https://ciera.northwestern.edu/2018/01/31/ciera-director-vicky-kalogera-named-daniel-i-linzer-distinguished-university-professor/,,CIERA Stories,Achievement,2017,29,432179,"•	Space Daily, Aug. 15, 2022",
1445,CIERA REU Students Present at 231st Meeting of the AAS,2018-01-31,https://ciera.northwestern.edu/2018/01/31/ciera-reu-students-present-at-231st-meeting-of-the-aas/,,CIERA Stories,Achievement|Education|Event|Interdisciplinary,2017,0,,,
1448,New Theory by CIERA Lindheimer Post-doctoral Fellow Alex Richings Predicts that Molecules are Born in Black Hole Winds,2018-01-30,https://ciera.northwestern.edu/2018/01/30/new-theory-by-ciera-lindheimer-post-doctoral-fellow-alex-richings-predicts-that-molecules-are-born-in-black-hole-winds/,Black Holes & Dead Stars|Galaxies & Cosmology,Northwestern Press,Science,2017,,,,
1452,CIERA Director Vicky Kalogera Wins 2018 Dannie Heineman Prize for Astrophysics,2018-01-10,https://ciera.northwestern.edu/2018/01/10/ciera-director-vicky-kalogera-wins-2018-dannie-heineman-prize-for-astrophysics/,,Northwestern Press,Achievement,2017,,,,
1453,Black Hole Breakthrough: New Insight into Mysterious Jets by CIERA Professor Sasha Tchekhovskoy,2018-01-09,https://ciera.northwestern.edu/2018/01/09/black-hole-breakthrough-new-insight-into-mysterious-jets-by-ciera-professor-sasha-tchekhovskoy/,Black Holes & Dead Stars,External Press|Northwestern Press,Science,2017,76,2700451,ANI,Included local evening news feature
1456,Astronomy from the Stratosphere: New Research by CIERA Postdoc Fabio Santos,2018-01-09,https://ciera.northwestern.edu/2018/01/09/astronomy-from-the-stratosphere-new-research-by-ciera-postdoc-fabio-santos/,Life & Death of Stars,External Press,Science,2017,,,,
1460,CIERA Researchers Highlight Their Expertise in Seven Minutes or Less,2017-12-06,https://ciera.northwestern.edu/2017/12/06/ciera-researchers-highlight-their-expertise-in-seven-minutes-or-less/,Galaxies & Cosmology|Gravitational Waves & Multi-Messenger Astronomy,CIERA Stories,Education|Event|Interdisciplinary|Outreach,2017,0,,,
1465,Professor Yusef-Zadeh: Infant Stars Surprisingly Near Galaxy’s Supermassive Black Hole,2017-12-01,https://ciera.northwestern.edu/2017/12/01/professor-yusef-zadeh-infant-stars-surprisingly-near-galaxys-supermassive-black-hole/,Black Holes & Dead Stars|Life & Death of Stars,External Press|Northwestern Press,Science,2017,69,2290110,ANI,
1468,CIERA Astronomers Share Stories of Scientific Discovery at Neutron Star Merger Event,2017-11-28,https://ciera.northwestern.edu/2017/11/28/ciera-astronomers-share-stories-of-scientific-discovery-at-neutron-star-merger-event/,Black Holes & Dead Stars|Gravitational Waves & Multi-Messenger Astronomy,CIERA Stories,Event|Outreach,2017,9,1589517,"WGN TV, Chicago Sun-Times, Fox32 Chicago, WTTW Chicago Tonight",As of 2023-05-09
1490,CIERA Director Vicky Kalogera Meets with U.S. Congressman,2018-02-05,https://ciera.northwestern.edu/2018/02/05/ciera-director-vicky-kalogera-meets-with-u-s-congressman/,,CIERA Stories,Achievement|Outreach,2017,,,,
1493,Another Way for Stellar-mass Black Holes to Grow Larger,2018-08-17,https://ciera.northwestern.edu/2018/08/17/another-way-for-stellar-mass-black-holes-to-grow-larger/,Black Holes & Dead Stars,External Press,Science,2017,58,501709,"•	Space.com, June 16, 2022
•	CNET, June 14, 2022
•	IFL Science, June 14, 2022",Included local evening news feature
1544,CIERA Celebrates a Decade Of Discovery,2018-09-13,https://ciera.northwestern.edu/2018/09/13/ciera-celebrates-aa-decade-of-discovery/,,Northwestern Press,Event|Outreach,2018,0,,"Mashable, CNN, BBC, CNET, Ars Technica, LiveScience (need links)",
1613,CIERA REU Panel Discussion Explores Careers in Astrophysics,2018-08-06,https://ciera.northwestern.edu/2018/08/06/ciera-reu-panel-discussion-explores-careers-in-astrophysics/,,CIERA Stories,Education,2017,0,,,
1615,2018 REU Students Present Their Research at Annual Poster Session,2018-08-24,https://ciera.northwestern.edu/2018/08/24/2018-reu-students-present-their-research-at-annual-poster-session/,,CIERA Stories,Achievement|Event|Interdisciplinary|Outreach,2017,14,294203,,
1626,Announcing CIERA's 2018 Summer Undergraduate Researchers,2018-06-01,https://ciera.northwestern.edu/2018/06/01/announcing-cieras-2018-summer-undergraduate-researchers/,,CIERA Stories,Data Science & Computing|Education|Interdisciplinary,2017,60,7955388,"CNN, Sky News, New York Post, Independent, Daily Mail, MSN, Fox National, Yahoo! News",
1668,Astronomers Witness Birth of New Star from Stellar Explosion,2018-09-20,https://ciera.northwestern.edu/2018/09/20/astronomers-witness-birth-of-new-star-from-stellar-explosion/,Life & Death of Stars,External Press,Science,2018,,,,
1681,Prof. Mel Ulmer Featured in Sky at Night Magazine,2018-08-24,https://ciera.northwestern.edu/2018/08/24/prof-mel-ulmer-featured-in-sky-at-night-magazine/,,External Press,Achievement|Science,2017,19,3929413,"Space.com, Gizmodo, CNET, Mashable, IFLScience, Yahoo!, MSN",
1696,"Welcome Christopher Berry, Inaugural CIERA Board of Visitors Research Professor",2018-09-01,https://ciera.northwestern.edu/2018/09/01/welcome-christopher-berry-inaugural-ciera-board-of-visitors-research-professor/,,CIERA Stories,Achievement,2017,0,,,
1698,CIERA Researchers Featured in “Humans of LIGO”,2018-09-20,https://ciera.northwestern.edu/2018/09/20/ciera-researchers-featured-in-humans-of-ligo/,Gravitational Waves & Multi-Messenger Astronomy,External Press,Achievement,2018,0,,"Mashable, CNN, BBC, CNET, Ars Technica, LiveScience (need links)",
1701,"Phil Nicholson Presents CIERA Interdisciplinary Colloquium, Joint with EPS",2018-09-27,https://ciera.northwestern.edu/2018/09/27/phil-nicholson-presents-ciera-interdisciplinary-colloquium-joint-with-eps/,Exoplanets & The Solar System,CIERA Stories,Event|Interdisciplinary,2018,43,1703499,"Mashable, CNN, BBC, CNET, Ars Technica, LiveScience (need links)",
1914,CIERA Director Vicky Kalogera Presents Annual Public Lecture,2018-10-25,https://ciera.northwestern.edu/2018/10/25/ciera-director-vicky-kalogera-presents-annual-public-lecture/,,CIERA Stories,Event|Outreach,2018,,,,
1928,CIERA Director Vicky Kalogera Appointed CIFAR Senior Fellow,2017-08-31,https://ciera.northwestern.edu/2017/08/31/ciera-director-vicky-kalogera-appointed-cifar-senior-fellow/,,CIERA Stories,Achievement,2016,,,,
1930,The Boulder Philharmonic Performs 'Celestial Suite' as Part of 2018-19 Season: Open Space,2018-10-25,https://ciera.northwestern.edu/2018/10/25/the-boulder-philharmonic-performs-celestial-suite-as-part-of-2018-19-season-open-space/,,CIERA Stories|External Press,Event|Interdisciplinary|Outreach,2018,61,71549,"WGN TV, Chicago Sun-Times, Fox32 Chicago, WTTW Chicago Tonight",
1935,CIERA’s Shane Larson to Give Dome Lecture Streamed World-wide,2018-10-26,https://ciera.northwestern.edu/2018/10/26/cieras-shane-larson-to-give-dome-lecture-streamed-world-wide/,,CIERA Stories,Achievement|Event|Outreach,2018,62,235331,,
1940,CIERA Postdoc Alum Carl Rodriguez Featured in Northwestern Magazine,2017-08-31,https://ciera.northwestern.edu/2017/08/31/ciera-postdoc-alum-carl-rodriguez-featured-in-northwestern-magazine/,Black Holes & Dead Stars,CIERA Stories,Achievement,2016,27,1556154,"Space.com, Gizmodo, CNET, Mashable, IFLScience, Yahoo!, MSN",
1947,Dearborn Observatory Welcomes 1500 Visitors During Open House Chicago,2018-10-26,https://ciera.northwestern.edu/2018/10/26/dearborn-observatory-welcomes-1500-visitors-during-open-house-chicago/,,CIERA Stories,Event|Outreach,2018,75,144143,Cosmos Magazine,
1950,New Issue of “LIGO Magazine” Available,2017-08-31,https://ciera.northwestern.edu/2017/08/31/new-issue-of-ligo-magazine-available/,Gravitational Waves & Multi-Messenger Astronomy,External Press,Science,2016,,,,
2007,CIERA Pop-up Eclipse Viewing at Tech Allows Hundreds to Enjoy Rare Sky Event,2017-08-22,https://ciera.northwestern.edu/2017/08/22/ciera-pop-up-eclipse-viewing-at-tech-allows-hundreds-to-enjoy-rare-sky-event/,,CIERA Stories|External Press|Northwestern Press,Event|Outreach,2016,,,,
2012,Astronomy on Tap Hosts Eclipse-themed Event at Begyle Brewing,2017-08-15,https://ciera.northwestern.edu/2017/08/15/astronomy-on-tap-hosts-eclipse-themed-event-at-begyle-brewing/,,CIERA Stories,Event|Outreach,2016,65,237466,ANI,
2015,2017 REU Students Present Their Research at Annual Poster Session,2017-08-18,https://ciera.northwestern.edu/2017/08/18/2017-reu-students-present-their-research-at-annual-poster-session/,,CIERA Stories,Achievement|Education|Event|Interdisciplinary|Outreach,2016,32,31563284,"•	CNET, Aug. 5, 2022
•	Space.com, Aug. 5, 2022",
2032,CIERA REU Students Discover Careers in Astronomy,2017-07-31,https://ciera.northwestern.edu/2017/07/31/ciera-reu-students-discover-careers-in-astronomy/,,CIERA Stories,Education|Event,2016,57,4505139,MSN,
2034,CIERA's 2017 Summer Student Researchers,2017-07-30,https://ciera.northwestern.edu/2017/07/30/cieras-2017-summer-student-researchers/,,CIERA Stories,Education|Interdisciplinary,2016,0,,MSN,
2084,CIERA Prof. Raffaella Margutti Helps Discover ‘Heavy Metal’ Supernova Rocking Out,2017-07-31,https://ciera.northwestern.edu/2017/07/31/2084/,Life & Death of Stars,External Press|Northwestern Press,Science,2016,54,9258,"•	CNET, Aug. 5, 2022
•	Space.com, Aug. 5, 2022",
2087,"Intergalactic Transfer: A New Study on How Matter Moves Across the Universe, Led by CIERA Postdoc Daniel Anglés-Alcázar",2017-07-31,https://ciera.northwestern.edu/2017/07/31/intergalactic-transfer-a-new-study-on-how-matter-moves-across-the-universe-led-by-ciera-postdoc-daniel-angles-alcazar/,Galaxies & Cosmology,External Press|Northwestern Press,Science,2016,,,,
2088,The Computing Power Behind CIERA’s Galaxy Formation Research,2017-07-20,https://ciera.northwestern.edu/2017/07/20/the-computing-power-behind-cieras-galaxy-formation-research/,Galaxies & Cosmology,Northwestern Press,Achievement,2016,11,155243,"•	Science, Oct. 28, 2022
•	Wired, Oct. 26, 2022
•	Scientific American, Oct. 21, 2022
•	South China Morning Post, Oct. 21, 2022
•	CNET, Oct. 20, 2022
•	The Economist, Oct. 19, 2022
•	Business Insider, Oct. 18, 2022
•	CNN, Oct. 18, 2022
•	Salon, Oct. 18, 2022
•	Space.com, Oct. 18, 2022
•	The Times (London), Oct. 18, 2022
•	Axios, Oct. 17, 2022
•	IFL Science, Oct. 17, 2022
•	Mashable, Oct. 17, 2022
•	Forbes, Oct. 14, 2022
•	Gizmodo, Oct. 14, 2022
•	Vice, Oct. 11, 2022",
2089,Graduate Students Engage with 7th/8th Grade Students & Families,2017-07-01,https://ciera.northwestern.edu/2017/07/01/graduate-students-engage-with-7th-8th-grade-students-families/,,CIERA Stories,Event|Outreach,2016,0,,"WGN TV, Chicago Sun-Times, Fox32 Chicago, WTTW Chicago Tonight",
2111,CIERA Professor Raffaella Margutti Group Research Featured in Nature Magazine,2018-11-02,https://ciera.northwestern.edu/2018/11/02/ciera-professor-raffaella-margutti-group-research-featured-in-nature-magazine/,Life & Death of Stars,External Press,Science,2018,22,2493,"CNN, Sky News, New York Post, Independent, Daily Mail, MSN, Fox National, Yahoo! News",
2199,CIERA Director Vicky Kalogera Featured in Northwestern Global Impact Video,2017-06-12,https://ciera.northwestern.edu/2017/06/12/ciera-director-vicky-kalogera-featured-in-northwestern-global-impact-video/,,Northwestern Press,Achievement,2016,27,5209876,ANI,
2201,Graduate Student Fani Dosopoulou Receives Holt Award,2017-06-10,https://ciera.northwestern.edu/2017/06/10/graduate-student-fani-dosopoulou-receives-holt-award/,Black Holes & Dead Stars|Exoplanets & The Solar System|Stellar Dynamics & Stellar Populations,CIERA Stories,Achievement,2016,35,20766778,"ABC7, WBEZ",
2203,CIERA Hosts Supernovae: The LSST Revolution Workshop,2017-06-03,https://ciera.northwestern.edu/2017/06/03/ciera-hosts-supernovae-the-lsst-revolution-workshop/,Life & Death of Stars,CIERA Stories,Data Science & Computing|Event|Interdisciplinary,2016,,,,
2209,LIGO Detects Gravitational Waves for Third Time,2017-06-02,https://ciera.northwestern.edu/2017/06/02/ligo-detects-gravitational-waves-for-third-time/,Gravitational Waves & Multi-Messenger Astronomy,External Press|Northwestern Press,Science,2016,,,,
2210,Astronomy Students Awarded Best Senior Thesis,2017-05-30,https://ciera.northwestern.edu/2017/05/30/astronomy-students-awarded-best-senior-thesis/,Black Holes & Dead Stars,CIERA Stories,Achievement,2016,,,,
2213,"""Science Sonification"" Brings Together Composers & STEM Researchers",2017-05-23,https://ciera.northwestern.edu/2017/05/23/science-sonification-brings-together-composers-stem-researchers/,,CIERA Stories,Event|Interdisciplinary|Outreach,2016,29,716569,"CNET, Sky and Telescope",
